date; c.class.average.price;unit.c;E.class.average.price;unit.e;s.class.average.price;unit.s;cl.class.average.price;unit.cl;sl.class.average.price;unit.sl;m.class.average.price;unit.m
mag-06;38917;4329;61420;4070;101100;2526;132050;46;134225;1056;44900;2278
giu-06;38917;4250;61420;4213;101100;2407;132050;63;134225;866;44900;2601
lug-06;38917;5285;61420;4479;101100;2233;132050;52;134225;768;44900;2446
ago-06;38917;4652;61420;3955;101100;2427;132050;54;134225;713;44900;2312
set-06;38917;4238;61420;4112;101100;2357;132050;41;134225;557;44900;2706
ott-06;38917;3784;61420;4895;101100;2518;132050;98;134225;554;44900;2770
nov-06;38917;4435;61420;4918;101100;2780;132050;391;134225;456;44900;3183
dic-06;38917;5197;61420;7116;101100;2987;132050;347;134225;539;44900;3889
gen-07;36650;3928;63443;3375;124750;2078;122825;258;136175;369;56040;2351
feb-07;36650;;63443;;124750;;122825;;136175;;56040;
mar-07;36650;4486;63443;4019;124750;2440;122825;295;136175;670;56040;2619
apr-07;36650;5131;63443;4011;124750;2067;122825;330;136175;703;56040;2382
mag-07;36650;;63443;;124750;;122825;;136175;;56040;
giu-07;36650;4776;63443;3686;124750;1701;122825;266;136175;594;56040;2551
lug-07;36650;4291;63443;3227;124750;2521;122825;344;136175;551;56040;3015
ago-07;36650;4565;63443;3718;124750;2467;122825;352;136175;485;56040;3062
set-07;36650;;63443;;124750;;122825;;136175;;56040;
ott-07;36650;7646;63443;4176;124750;2100;122825;318;136175;319;56040;2942
nov-07;36650;6920;63443;4464;124750;2106;122825;329;136175;488;56040;3015
dic-07;36650;;63443;;124750;;122825;;136175;;56040;
gen-08;37256;4647;62818;2980;128320;1641;176000;253;136250;389;56136;3237
feb-08;37256;;62818;;128320;;176000;;136250;;56136;
mar-08;37256;6713;62818;3039;128320;1622;176000;297;136250;379;56136;3189
apr-08;37256;6850;62818;3208;128320;1775;176000;275;136250;518;56136;2582
mag-08;37256;4842;62818;2275;128320;1684;176000;250;136250;1083;56136;2706
giu-08;37256;5977;62818;4360;128320;1384;176000;180;136250;667;56136;2601
lug-08;37256;6241;62818;4938;128320;1577;176000;220;136250;501;56136;2691
ago-08;37256;6990;62818;2681;128320;1700;176000;232;136250;477;56136;2430
set-08;37256;6772;62818;2968;128320;1591;176000;221;136250;357;56136;2981
ott-08;37256;4594;62818;2098;128320;1208;176000;223;136250;276;56136;3150
nov-08;37256;4422;62818;2264;128320;997;176000;187;136250;189;56136;2911
dic-08;37256;6090;62818;3464;128320;1075;176000;147;136250;263;56136;2761
gen-09;37256;3032;64868;1768;131890;516;151550;100;138675;133;57650;1355
feb-09;37256;3990;64868;2104;131890;985;151550;232;138675;462;57650;1353
mar-09;37256;5008;64868;1978;131890;731;151550;68;138675;308;57650;1675
