Store,Date,Weekly_Sales,Promotion
1,2015-02-05,1840842.0997690207,TRUE
2,2015-02-05,2393308.963826876,TRUE
3,2015-02-05,516991.130610285,TRUE
4,2015-02-05,2391242.005999883,FALSE
5,2015-02-05,355216.17561686906,FALSE
6,2015-02-05,1850859.1047355593,TRUE
7,2015-02-05,556304.778458219,FALSE
8,2015-02-05,1124577.5158891215,TRUE
9,2015-02-05,615415.5568402372,FALSE
10,2015-02-05,2456092.2408500444,TRUE
11,2015-02-05,1711284.4229549519,TRUE
12,2015-02-05,1231990.5583185314,TRUE
13,2015-02-05,2203177.23432911,FALSE
14,2015-02-05,2938139.9698927137,TRUE
15,2015-02-05,730340.7482246797,FALSE
16,2015-02-05,534671.7793845901,FALSE
17,2015-02-05,883676.3188566604,FALSE
18,2015-02-05,1349877.1509700206,TRUE
19,2015-02-05,1688469.5131624956,FALSE
20,2015-02-05,2689428.9427352883,TRUE
21,2015-02-05,894380.5887846001,TRUE
22,2015-02-05,1156921.8181403033,FALSE
23,2015-02-05,1528412.0262071753,FALSE
24,2015-02-05,1555295.222923152,FALSE
25,2015-02-05,758461.6400803804,FALSE
26,2015-02-05,1158155.817464148,FALSE
27,2015-02-05,2099099.990514784,TRUE
28,2015-02-05,1872941.25743297,TRUE
29,2015-02-05,603240.5425827645,FALSE
30,2015-02-05,520895.59209536394,TRUE
31,2015-02-05,1645480.3204251714,TRUE
32,2015-02-05,1218069.4502490598,FALSE
33,2015-02-05,307529.3209106272,TRUE
34,2015-02-05,1070923.0832794334,FALSE
35,2015-02-05,1378218.4590448872,TRUE
36,2015-02-05,523626.2624571082,TRUE
37,2015-02-05,600297.6315945574,FALSE
38,2015-02-05,401495.6748356329,FALSE
39,2015-02-05,1378199.7559766485,FALSE
40,2015-02-05,1122121.1534617317,FALSE
41,2015-02-05,1216856.5394746126,FALSE
42,2015-02-05,608559.7735859647,FALSE
43,2015-02-05,724636.6931928854,FALSE
44,2015-02-05,314806.1807874393,FALSE
45,2015-02-05,997522.5559931251,TRUE
1,2015-02-19,1805314.4121097378,FALSE
2,2015-02-19,2379267.1929686596,TRUE
3,2015-02-19,472215.727659506,FALSE
4,2015-02-19,2295729.12112093,FALSE
5,2015-02-19,339844.3478202665,FALSE
6,2015-02-19,1755107.2013641803,FALSE
7,2015-02-19,567543.5305589894,FALSE
8,2015-02-19,1079581.8311124812,TRUE
9,2015-02-19,572658.718927314,FALSE
10,2015-02-19,2366926.572561458,TRUE
11,2015-02-19,1683610.6688234627,TRUE
12,2015-02-19,1226811.1299505553,TRUE
13,2015-02-19,2206597.667127835,FALSE
14,2015-02-19,2468980.5027744956,TRUE
15,2015-02-19,740102.5291061325,TRUE
16,2015-02-19,526226.7281054729,FALSE
17,2015-02-19,896755.0048944432,FALSE
18,2015-02-19,1288678.8301865044,TRUE
19,2015-02-19,1697808.6606989624,FALSE
20,2015-02-19,2420815.1295073926,FALSE
21,2015-02-19,971308.850724002,TRUE
22,2015-02-19,1107028.5725534316,FALSE
23,2015-02-19,1477864.9795917752,FALSE
24,2015-02-19,1551528.6937664733,FALSE
25,2015-02-19,757374.2190542059,FALSE
26,2015-02-19,1119214.6182613326,FALSE
27,2015-02-19,2178370.2461792678,TRUE
28,2015-02-19,1670173.2646565256,TRUE
29,2015-02-19,607456.6957397915,FALSE
30,2015-02-19,519108.98990143713,TRUE
31,2015-02-19,1650110.953733365,TRUE
32,2015-02-19,1212405.7468070046,FALSE
33,2015-02-19,332456.3670793436,TRUE
34,2015-02-19,1101983.7390801227,FALSE
35,2015-02-19,1423066.7815629132,TRUE
36,2015-02-19,526688.5146998976,TRUE
37,2015-02-19,571599.9236750427,FALSE
38,2015-02-19,366488.2124594392,FALSE
39,2015-02-19,1378194.3466461338,FALSE
40,2015-02-19,1026192.7804818267,FALSE
41,2015-02-19,1178220.2114835312,FALSE
42,2015-02-19,569821.866655407,FALSE
43,2015-02-19,738040.487834203,FALSE
44,2015-02-19,300096.10562322737,FALSE
45,2015-02-19,942168.7872420353,TRUE
1,2015-02-26,1578816.2463379954,FALSE
2,2015-02-26,2088804.8810030331,FALSE
3,2015-02-26,456046.72357713373,FALSE
4,2015-02-26,2156708.856520019,FALSE
5,2015-02-26,302700.345483566,FALSE
6,2015-02-26,1604827.644885762,FALSE
7,2015-02-26,555585.550289181,FALSE
8,2015-02-26,949255.8725731552,FALSE
9,2015-02-26,530599.6286535596,FALSE
10,2015-02-26,2247475.989025852,TRUE
11,2015-02-26,1496698.6445243952,FALSE
12,2015-02-26,1174392.7237637248,FALSE
13,2015-02-26,2035890.9331034115,FALSE
14,2015-02-26,2346945.703980952,FALSE
15,2015-02-26,632637.6668583149,FALSE
16,2015-02-26,496406.50010837027,FALSE
17,2015-02-26,839453.6755681526,FALSE
18,2015-02-26,1196276.7471316673,FALSE
19,2015-02-26,1537985.8468525494,FALSE
20,2015-02-26,2125871.316004032,FALSE
21,2015-02-26,839507.0857073326,FALSE
22,2015-02-26,1007682.6562308532,FALSE
23,2015-02-26,1342487.927091029,FALSE
24,2015-02-26,1297704.8189241134,FALSE
25,2015-02-26,703903.4908926141,FALSE
26,2015-02-26,957983.4857754245,FALSE
27,2015-02-26,1557768.7764941023,FALSE
28,2015-02-26,1727148.0854490239,TRUE
29,2015-02-26,547000.4723859982,FALSE
30,2015-02-26,528984.0419398759,TRUE
31,2015-02-26,1505601.9321748044,FALSE
32,2015-02-26,1179577.9870410135,FALSE
33,2015-02-26,318123.25393540034,TRUE
34,2015-02-26,1014396.3297648373,FALSE
35,2015-02-26,1143073.0024693236,TRUE
36,2015-02-26,501196.8038620012,TRUE
37,2015-02-26,575221.0616749094,FALSE
38,2015-02-26,374310.8099483513,FALSE
39,2015-02-26,1308746.6624346,FALSE
40,2015-02-26,967539.2977179675,FALSE
41,2015-02-26,1110919.3931180825,FALSE
42,2015-02-26,550464.426216565,FALSE
43,2015-02-26,692912.6048434967,FALSE
44,2015-02-26,305833.3222029588,FALSE
45,2015-02-26,830877.2548336816,FALSE
1,2015-03-05,1741296.732582811,FALSE
2,2015-03-05,2229823.618842746,FALSE
3,2015-03-05,465003.11898178724,FALSE
4,2015-03-05,2207474.359452225,FALSE
5,2015-03-05,323502.27875975426,FALSE
6,2015-03-05,1793421.332606662,FALSE
7,2015-03-05,550362.4776955006,FALSE
8,2015-03-05,987235.2412930472,FALSE
9,2015-03-05,568145.3213785954,FALSE
10,2015-03-05,2225430.032925176,FALSE
11,2015-03-05,1597737.7708935693,TRUE
12,2015-03-05,1206200.3711503167,TRUE
13,2015-03-05,2172669.8421655847,FALSE
14,2015-03-05,2505925.278236406,TRUE
15,2015-03-05,677930.7080210673,FALSE
16,2015-03-05,497458.8892797838,FALSE
17,2015-03-05,877252.3524898622,FALSE
18,2015-03-05,1321241.2975689985,TRUE
19,2015-03-05,1675262.4591198307,FALSE
20,2015-03-05,2373401.1268080375,FALSE
21,2015-03-05,837095.9354275356,FALSE
22,2015-03-05,1130249.081339502,FALSE
23,2015-03-05,1468443.8857377616,FALSE
24,2015-03-05,1581795.051538002,FALSE
25,2015-03-05,745602.9222840812,FALSE
26,2015-03-05,1126293.819185243,FALSE
27,2015-03-05,1471303.9880513835,FALSE
28,2015-03-05,1801357.9628146202,TRUE
29,2015-03-05,599268.6044592793,FALSE
30,2015-03-05,529275.6306133277,TRUE
31,2015-03-05,1550977.7036160477,FALSE
32,2015-03-05,1194495.2406838776,FALSE
33,2015-03-05,326446.81366705993,TRUE
34,2015-03-05,1028440.0493259722,FALSE
35,2015-03-05,1302058.6356229314,TRUE
36,2015-03-05,537801.0490886613,TRUE
37,2015-03-05,581537.3902040771,FALSE
38,2015-03-05,416887.9080156672,FALSE
39,2015-03-05,1418134.0657040582,FALSE
40,2015-03-05,1108915.3089588094,FALSE
41,2015-03-05,1191125.04858223,FALSE
42,2015-03-05,621538.1462212238,FALSE
43,2015-03-05,737595.3100123521,FALSE
44,2015-03-05,318755.46243963897,FALSE
45,2015-03-05,871261.9613229418,FALSE
1,2015-03-12,1612206.2628931236,FALSE
2,2015-03-12,2229230.7763773454,FALSE
3,2015-03-12,430283.3366737667,FALSE
4,2015-03-12,2121537.2887193323,FALSE
5,2015-03-12,332952.23357595416,FALSE
6,2015-03-12,1745568.9613462281,FALSE
7,2015-03-12,538079.545614346,FALSE
8,2015-03-12,963528.4975305371,FALSE
9,2015-03-12,553415.7255868744,FALSE
10,2015-03-12,2174199.3499676017,FALSE
11,2015-03-12,1491634.827996796,FALSE
12,2015-03-12,1103810.5472710417,FALSE
13,2015-03-12,2061466.6733550776,FALSE
14,2015-03-12,2414638.9731950373,TRUE
15,2015-03-12,676640.711486927,FALSE
16,2015-03-12,498816.13846348925,FALSE
17,2015-03-12,855594.6138487246,FALSE
18,2015-03-12,1275392.820077323,FALSE
19,2015-03-12,1643954.004464141,FALSE
20,2015-03-12,2252179.6202973872,FALSE
21,2015-03-12,797750.6939535526,FALSE
22,2015-03-12,1083195.8910649666,FALSE
23,2015-03-12,1576974.3524986226,FALSE
24,2015-03-12,1466387.9257628703,FALSE
25,2015-03-12,739857.5301116466,FALSE
26,2015-03-12,1078934.189777085,FALSE
27,2015-03-12,2156019.2844735533,TRUE
28,2015-03-12,1486028.3313047788,FALSE
29,2015-03-12,581298.6292988183,FALSE
30,2015-03-12,524346.5993709102,TRUE
31,2015-03-12,1530060.3264911138,FALSE
32,2015-03-12,1224456.693645346,FALSE
33,2015-03-12,349602.9032624061,TRUE
34,2015-03-12,1031746.2254168097,FALSE
35,2015-03-12,1288321.5343864916,TRUE
36,2015-03-12,494381.67458240344,TRUE
37,2015-03-12,574548.5687775841,FALSE
38,2015-03-12,383047.70748808765,FALSE
39,2015-03-12,1393649.419895562,FALSE
40,2015-03-12,1007224.5094550978,FALSE
41,2015-03-12,1146820.3021839866,FALSE
42,2015-03-12,658934.4271897485,TRUE
43,2015-03-12,722797.3640257441,FALSE
44,2015-03-12,304838.54296149756,FALSE
45,2015-03-12,857527.1895704503,FALSE
1,2015-03-19,1649135.5271277819,FALSE
2,2015-03-19,2179490.806354495,FALSE
3,2015-03-19,420347.0796844747,FALSE
4,2015-03-19,2125015.0178636317,FALSE
5,2015-03-19,315495.4616484113,FALSE
6,2015-03-19,1896131.5165260388,TRUE
7,2015-03-19,643352.2066746228,FALSE
8,2015-03-19,940653.457933665,FALSE
9,2015-03-19,544006.8615235895,FALSE
10,2015-03-19,2180391.443086007,FALSE
11,2015-03-19,1527835.7253176959,FALSE
12,2015-03-19,1088684.7040198261,FALSE
13,2015-03-19,2105265.3953627627,FALSE
14,2015-03-19,2314050.33318325,FALSE
15,2015-03-19,664922.8248559824,FALSE
16,2015-03-19,564796.0946324826,FALSE
17,2015-03-19,842236.7033215233,FALSE
18,2015-03-19,1217947.6899149928,FALSE
19,2015-03-19,1492818.8218118465,FALSE
20,2015-03-19,2185961.3400013754,FALSE
21,2015-03-19,814277.8337940923,FALSE
22,2015-03-19,1082028.595618026,FALSE
23,2015-03-19,1376420.7470044377,FALSE
24,2015-03-19,1369144.4359002865,FALSE
25,2015-03-19,738934.5280943423,FALSE
26,2015-03-19,1011720.1334892686,FALSE
27,2015-03-19,1904608.4414172564,FALSE
28,2015-03-19,1433326.3552450107,FALSE
29,2015-03-19,556446.0706192373,FALSE
30,2015-03-19,499199.8537473196,FALSE
31,2015-03-19,1492057.9989150006,FALSE
