Store,Type,Size
1,A,7565.75
2,A,10115.35
3,B,1869.6
4,A,10293.15
5,B,1743.75
6,A,10125.25
7,B,3535.65
8,A,7753.9
9,B,6291.65
10,B,6325.6
11,A,10374.95
12,B,5611.9
13,A,10981.1
14,A,10044.9
15,B,6186.85
16,B,2859.85
17,B,4659.4
18,B,6032.65
19,A,10190.95
20,A,10187.1
21,B,7008.35
22,B,5977.85
23,B,5726.65
24,A,10190.95
25,B,6405.35
26,A,7625.65
27,A,10209.2
28,A,10315.1
29,B,4681.9
30,C,2149.4
31,A,10187.5
32,A,10150.35
33,A,1984.5
34,A,7905.7
35,B,5184.05
36,A,1995.5
37,C,1995.5
38,C,1984.5
39,A,9205.45
40,A,7754.15
41,A,9816.05
42,C,1984.5
43,C,2053.1
44,C,1995.5
45,B,5911.05
